date,trend_slug,trend_label,average_relative_interest,countries_available,start_date,months_from_start
2010-01-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-25
2010-01-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-125
2010-01-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-103
2010-01-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-151
2010-01-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-152
2010-01-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-103
2010-02-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-24
2010-02-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-124
2010-02-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-102
2010-02-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-150
2010-02-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-151
2010-02-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-102
2010-03-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-23
2010-03-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-123
2010-03-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-101
2010-03-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-149
2010-03-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-150
2010-03-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-101
2010-04-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-22
2010-04-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-122
2010-04-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-100
2010-04-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-148
2010-04-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-149
2010-04-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-100
2010-05-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-21
2010-05-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-121
2010-05-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-99
2010-05-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-147
2010-05-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-148
2010-05-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-99
2010-06-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-20
2010-06-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-120
2010-06-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-98
2010-06-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-146
2010-06-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-147
2010-06-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-98
2010-07-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-19
2010-07-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-119
2010-07-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-97
2010-07-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-145
2010-07-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-146
2010-07-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-97
2010-08-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-18
2010-08-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-118
2010-08-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-96
2010-08-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-144
2010-08-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-145
2010-08-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-96
2010-09-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-17
2010-09-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-117
2010-09-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-95
2010-09-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-143
2010-09-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-144
2010-09-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-95
2010-10-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-16
2010-10-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-116
2010-10-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-94
2010-10-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-142
2010-10-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-143
2010-10-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-94
2010-11-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-15
2010-11-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-115
2010-11-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-93
2010-11-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-141
2010-11-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-142
2010-11-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-93
2010-12-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-14
2010-12-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-114
2010-12-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-92
2010-12-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-140
2010-12-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-141
2010-12-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-92
2011-01-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-13
2011-01-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-113
2011-01-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-91
2011-01-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-139
2011-01-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-140
2011-01-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-91
2011-02-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-12
2011-02-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-112
2011-02-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-90
2011-02-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-138
2011-02-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-139
2011-02-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-90
2011-03-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-11
2011-03-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-111
2011-03-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-89
2011-03-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-137
2011-03-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-138
2011-03-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-89
2011-04-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-10
2011-04-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-110
2011-04-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-88
2011-04-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-136
2011-04-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-137
2011-04-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-88
2011-05-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-9
2011-05-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-109
2011-05-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-87
2011-05-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-135
2011-05-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-136
2011-05-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-87
2011-06-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-8
2011-06-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-108
2011-06-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-86
2011-06-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-134
2011-06-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-135
2011-06-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-86
2011-07-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-7
2011-07-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-107
2011-07-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-85
2011-07-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-133
2011-07-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-134
2011-07-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-85
2011-08-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-6
2011-08-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-106
2011-08-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-84
2011-08-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-132
2011-08-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-133
2011-08-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-84
2011-09-01,camelbak_water_bottle,CamelBak,0.0,6,2012-02-01,-5
2011-09-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-105
2011-09-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-83
2011-09-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-131
2011-09-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-132
