date,trend_slug,trend_label,trend_query,baseline_term,country_panel,country_panel_rule,query_convention,analysis_transform,geo,country,trend_index,baseline_index,is_partial,trend_index_3m,baseline_index_3m,relative_interest,score_0_100
2010-01-01,camelbak_water_bottle,CamelBak,camelbak drink bottle,drink bottle,anglophone6_local_category_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. Australia and New Zealand use `drink bottle`; the other countries use `water bottle`.",{brand} {local bottle category},"3-month trailing averages for brand and local category baseline, then brand_3m/baseline_3m",AU,Australia,0.0,6.0,False,0.0,6.0,0.0,0.0
2010-02-01,camelbak_water_bottle,CamelBak,camelbak drink bottle,drink bottle,anglophone6_local_category_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. Australia and New Zealand use `drink bottle`; the other countries use `water bottle`.",{brand} {local bottle category},"3-month trailing averages for brand and local category baseline, then brand_3m/baseline_3m",AU,Australia,0.0,5.0,False,0.0,5.5,0.0,0.0
2010-03-01,camelbak_water_bottle,CamelBak,camelbak drink bottle,drink bottle,anglophone6_local_category_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. Australia and New Zealand use `drink bottle`; the other countries use `water bottle`.",{brand} {local bottle category},"3-month trailing averages for brand and local category baseline, then brand_3m/baseline_3m",AU,Australia,0.0,5.0,False,0.0,5.333333333333333,0.0,0.0
2010-04-01,camelbak_water_bottle,CamelBak,camelbak drink bottle,drink bottle,anglophone6_local_category_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. Australia and New Zealand use `drink bottle`; the other countries use `water bottle`.",{brand} {local bottle category},"3-month trailing averages for brand and local category baseline, then brand_3m/baseline_3m",AU,Australia,0.0,5.0,False,0.0,5.0,0.0,0.0
2010-05-01,camelbak_water_bottle,CamelBak,camelbak drink bottle,drink bottle,anglophone6_local_category_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. Australia and New Zealand use `drink bottle`; the other countries use `water bottle`.",{brand} {local bottle category},"3-month trailing averages for brand and local category baseline, then brand_3m/baseline_3m",AU,Australia,0.0,5.0,False,0.0,5.0,0.0,0.0
2010-06-01,camelbak_water_bottle,CamelBak,camelbak drink bottle,drink bottle,anglophone6_local_category_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. Australia and New Zealand use `drink bottle`; the other countries use `water bottle`.",{brand} {local bottle category},"3-month trailing averages for brand and local category baseline, then brand_3m/baseline_3m",AU,Australia,0.0,4.0,False,0.0,4.666666666666667,0.0,0.0
2010-07-01,camelbak_water_bottle,CamelBak,camelbak drink bottle,drink bottle,anglophone6_local_category_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. Australia and New Zealand use `drink bottle`; the other countries use `water bottle`.",{brand} {local bottle category},"3-month trailing averages for brand and local category baseline, then brand_3m/baseline_3m",AU,Australia,0.0,4.0,False,0.0,4.333333333333333,0.0,0.0
2010-08-01,camelbak_water_bottle,CamelBak,camelbak drink bottle,drink bottle,anglophone6_local_category_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. Australia and New Zealand use `drink bottle`; the other countries use `water bottle`.",{brand} {local bottle category},"3-month trailing averages for brand and local category baseline, then brand_3m/baseline_3m",AU,Australia,0.0,5.0,False,0.0,4.333333333333333,0.0,0.0
2010-09-01,camelbak_water_bottle,CamelBak,camelbak drink bottle,drink bottle,anglophone6_local_category_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. Australia and New Zealand use `drink bottle`; the other countries use `water bottle`.",{brand} {local bottle category},"3-month trailing averages for brand and local category baseline, then brand_3m/baseline_3m",AU,Australia,0.0,4.0,False,0.0,4.333333333333333,0.0,0.0
2010-10-01,camelbak_water_bottle,CamelBak,camelbak drink bottle,drink bottle,anglophone6_local_category_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. Australia and New Zealand use `drink bottle`; the other countries use `water bottle`.",{brand} {local bottle category},"3-month trailing averages for brand and local category baseline, then brand_3m/baseline_3m",AU,Australia,0.0,5.0,False,0.0,4.666666666666667,0.0,0.0
