date,owala water bottle,water bottle,isPartial,trend_slug,trend_label,trend_query,baseline_term,country_panel,country_panel_rule,query_convention,geo,country
2004-01-01,0,0,False,owala_water_bottle,Owala,owala water bottle,water bottle,anglophone6_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. This keeps the English `water bottle` baseline comparable across countries.",{brand} water bottle,NZ,New Zealand
2004-02-01,0,0,False,owala_water_bottle,Owala,owala water bottle,water bottle,anglophone6_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. This keeps the English `water bottle` baseline comparable across countries.",{brand} water bottle,NZ,New Zealand
2004-03-01,0,0,False,owala_water_bottle,Owala,owala water bottle,water bottle,anglophone6_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. This keeps the English `water bottle` baseline comparable across countries.",{brand} water bottle,NZ,New Zealand
2004-04-01,0,0,False,owala_water_bottle,Owala,owala water bottle,water bottle,anglophone6_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. This keeps the English `water bottle` baseline comparable across countries.",{brand} water bottle,NZ,New Zealand
2004-05-01,0,0,False,owala_water_bottle,Owala,owala water bottle,water bottle,anglophone6_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. This keeps the English `water bottle` baseline comparable across countries.",{brand} water bottle,NZ,New Zealand
2004-06-01,0,0,False,owala_water_bottle,Owala,owala water bottle,water bottle,anglophone6_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. This keeps the English `water bottle` baseline comparable across countries.",{brand} water bottle,NZ,New Zealand
2004-07-01,0,0,False,owala_water_bottle,Owala,owala water bottle,water bottle,anglophone6_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. This keeps the English `water bottle` baseline comparable across countries.",{brand} water bottle,NZ,New Zealand
2004-08-01,0,0,False,owala_water_bottle,Owala,owala water bottle,water bottle,anglophone6_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. This keeps the English `water bottle` baseline comparable across countries.",{brand} water bottle,NZ,New Zealand
2004-09-01,0,0,False,owala_water_bottle,Owala,owala water bottle,water bottle,anglophone6_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. This keeps the English `water bottle` baseline comparable across countries.",{brand} water bottle,NZ,New Zealand
2004-10-01,0,0,False,owala_water_bottle,Owala,owala water bottle,water bottle,anglophone6_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. This keeps the English `water bottle` baseline comparable across countries.",{brand} water bottle,NZ,New Zealand
2004-11-01,0,0,False,owala_water_bottle,Owala,owala water bottle,water bottle,anglophone6_2004,"English-speaking OECD countries: Australia, Canada, Ireland, New Zealand, United Kingdom, and United States. This keeps the English `water bottle` baseline comparable across countries.",{brand} water bottle,NZ,New Zealand
