date,s'well water bottle,water bottle,isPartial,trend_slug,trend_label,trend_query,baseline_term,country_panel,country_panel_rule,query_convention,geo,country
2010-01-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
2010-02-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
2010-03-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
2010-04-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
2010-05-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
2010-06-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
2010-07-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
2010-08-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
2010-09-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
2010-10-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
2010-11-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
2010-12-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
2011-01-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
2011-02-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
2011-03-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
2011-04-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
2011-05-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
2011-06-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
2011-07-01,0,0,False,swell_water_bottle,S'well,s'well water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,EE,Estonia
